,Nombre_tienda,Estrellas,Reseñas,Precio,Tipo_local,Direccion
0,Patisseria Artesanal Pierre Forte,"4,8",(29),"4,8(29) · 1-10 €","Panadería · Carrer de Coll i Pujol, 198
Abierto ⋅ Cierra a las 15:00 ⋅ Próxima apertura: 17:00","Panadería · Carrer de Coll i Pujol, 198"
1,Pastelería Pla,"4,6",(42),"4,6(42)","Pastelería · Carrer d'Àngel Guimerà, 46
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:00","Pastelería · Carrer d'Àngel Guimerà, 46"
2,Capibara,"4,9",(111),"4,9(111)","Repostería ·  · Carrer de Mar, 125
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:30","Repostería ·  · Carrer de Mar, 125"
3,Fragola By Ferita,"4,8",(55),"4,8(55)","Repostería ·  · Carrer d'Alfons XII, 57
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:00","Repostería ·  · Carrer d'Alfons XII, 57"
4,Lo de Lucca,"4,8",(107),"4,8(107)","Helado ·  · Rambla de Sant Joan, Passatge Riu Mogent, 81, local 6
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:30","Helado ·  · Rambla de Sant Joan, Passatge Riu Mogent, 81, local 6"
5,Pastelería La Vila,"4,5",(88),"4,5(88)","Repostería · Av. de Martí Pujol, 192
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 16:30","Repostería · Av. de Martí Pujol, 192"
6,Swing,"4,6",(299),"4,6(299) · 1-10 €","Panadería ·  · Av. de Catalunya, 39
Abierto ⋅ Cierra a las 21:00","Panadería ·  · Av. de Catalunya, 39"
7,Granja Verdú,"4,7",(113),"4,7(113) · 1-10 €","Repostería ·  · Carrer de la Pietat, 25
Abierto ⋅ Cierra a las 21:00","Repostería ·  · Carrer de la Pietat, 25"
8,Espan's Badalona,"4,2",(177),"4,2(177) · 1-10 €","Panadería ·  · Carrer de Francesc Layret, 73
Abierto ⋅ Cierra a las 21:00","Panadería ·  · Carrer de Francesc Layret, 73"
9,Baked by Alba,"4,9",(116),"4,9(116)","Repostería ·  · Carrer d'Ignasi Iglesias, 24
Cierra pronto ⋅ 13:00 ⋅ Próxima apertura: 16:00","Repostería ·  · Carrer d'Ignasi Iglesias, 24"
10,Pastelería Milfulls & The Cake Room,"4,7",(171),"4,7(171) · €€","Repostería ·  · Carrer del Carme, nº46
Cierra pronto ⋅ 13:30 ⋅ Próxima apertura: 17:00","Repostería ·  · Carrer del Carme, nº46"
11,Pastelería Guifré,"4,5",(246),"4,5(246) · €€","Repostería ·  · Carrer de Guifré, 259
Abierto ⋅ Cierra a las 14:00 ⋅ Próxima apertura: 17:00","Repostería ·  · Carrer de Guifré, 259"
12,Fontisi | Pastisseria,"4,5",(570),"4,5(570) · €","Repostería · Plaça de Pep Ventura, 16
Abierto ⋅ Cierra a las 20:00","Repostería · Plaça de Pep Ventura, 16"
